date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:48	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%2290b5-53cf467665600%22	http://localhost/kemi/public/js/bootstrap.js	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/js/bootstrap.js	(from http://localhost/kemi/)
14:26:54	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-538c9657fa780%22	http://localhost/kemi/public/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/fonts/fontawesome-webfont5b62.eot	(from http://localhost/kemi/public/css/font-awesome.min.css)
14:26:56	18104/18104	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:26:54%20GMT	http://localhost/kemi/public/fonts/fontawesome-webfont.svg?v=4.6.3	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/fonts/fontawesome-webfont5b62-2.html	(from http://localhost/kemi/public/css/font-awesome.min.css)
14:26:57	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-538c9657fa780%22	http://localhost/kemi/public/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/fonts/fontawesome-webfontd41d.eot	(from http://localhost/kemi/public/css/font-awesome.min.css)
14:26:57	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-5387bd491a180%22	http://localhost/kemi/public/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/fonts/glyphicons-halflings-regular.html	(from http://localhost/kemi/public/css/bootstrap.min.css)
14:27:00	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5387bd491a180%22	http://localhost/kemi/public/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/fonts/glyphicons-halflings-regular.eot	(from http://localhost/kemi/public/css/bootstrap.min.css)
14:27:01	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5387bd491a180%22	http://localhost/kemi/public/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/fonts/glyphicons-halflings-regulard41d.eot	(from http://localhost/kemi/public/css/bootstrap.min.css)
14:27:01	90412/90412	---M--	200	added ('OK')	application/font-woff	etag:%221612c-538c9657fa780%22	http://localhost/kemi/public/fonts/fontawesome-webfont.woff?v=4.6.3	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/fonts/fontawesome-webfont5b62.woff	(from http://localhost/kemi/public/css/font-awesome.min.css)
14:27:03	18104/18104	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202017%2021:27:01%20GMT	http://localhost/kemi/public/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/fonts/glyphicons-halflings-regular-2.html	(from http://localhost/kemi/public/css/bootstrap.min.css)
14:27:04	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-5387bd491a180%22	http://localhost/kemi/public/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/kemislookbook/localhost/kemi/public/fonts/glyphicons-halflings-regular.woff	(from http://localhost/kemi/public/css/bootstrap.min.css)
